Car_ID,Brand,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Condition,Price,Model,Vehicle_Age,Mileage_Per_Year,Price_Tier,Mileage_Bracket
1,Tesla,2016,2.3,Petrol,Manual,114832,New,26613.92,Model X,10,11483.2,Budget,100k-150k
2,BMW,2018,4.4,Electric,Manual,143190,Used,14679.61,5 Series,8,17898.75,Budget,100k-150k
3,Audi,2013,4.5,Electric,Manual,181601,New,44402.61,A4,13,13969.31,Mid-Range,150k-200k
4,Tesla,2011,4.1,Diesel,Automatic,68682,New,86374.33,Model Y,15,4578.8,Premium,50k-100k
5,Ford,2009,2.6,Diesel,Manual,223009,Like New,73577.1,Mustang,17,13118.18,Premium,200k+
6,Audi,2019,2.4,Diesel,Automatic,246553,Like New,88969.76,Q7,7,35221.86,Premium,200k+
7,Audi,2020,4.0,Electric,Automatic,135486,Used,63498.75,Q5,6,22581.0,Mid-Range,100k-150k
8,Tesla,2017,5.3,Hybrid,Automatic,83030,New,17381.19,Model Y,9,9225.56,Budget,50k-100k
9,Honda,2023,5.7,Electric,Manual,120360,Like New,15905.62,Civic,3,40120.0,Budget,100k-150k
10,Ford,2010,1.5,Electric,Automatic,135009,Like New,9560.22,Explorer,16,8438.06,Budget,100k-150k
11,Tesla,2001,1.8,Diesel,Automatic,298875,Like New,58872.6,Model 3,25,11955.0,Mid-Range,200k+
12,Ford,2017,5.7,Electric,Automatic,169737,Used,28074.19,Mustang,9,18859.67,Budget,150k-200k
13,Ford,2006,4.7,Petrol,Automatic,114360,New,74766.45,Fiesta,20,5718.0,Premium,100k-150k
14,Audi,2023,5.4,Electric,Automatic,263894,Like New,70193.74,Q7,3,87964.67,Premium,200k+
15,BMW,2014,2.0,Electric,Automatic,65018,New,35220.52,X3,12,5418.17,Budget,50k-100k
16,Ford,2010,3.9,Electric,Automatic,240904,Used,21796.16,Mustang,16,15056.5,Budget,200k+
17,Mercedes,2017,4.5,Electric,Automatic,136817,New,14728.03,GLA,9,15201.89,Budget,100k-150k
18,Audi,2022,4.4,Hybrid,Automatic,192803,Like New,75044.95,A3,4,48200.75,Premium,150k-200k
19,Honda,2011,3.0,Electric,Automatic,86984,New,47791.89,Civic,15,5798.93,Mid-Range,50k-100k
20,BMW,2005,1.1,Petrol,Automatic,290595,New,35735.34,X5,21,13837.86,Budget,200k+
21,Mercedes,2019,3.9,Petrol,Automatic,192608,Used,86382.04,C-Class,7,27515.43,Premium,150k-200k
22,Mercedes,2022,2.3,Electric,Manual,12150,Used,61393.26,E-Class,4,3037.5,Mid-Range,<50k
23,Honda,2012,3.3,Diesel,Manual,275550,New,54210.22,CR-V,14,19682.14,Mid-Range,200k+
24,BMW,2019,5.8,Hybrid,Automatic,150853,New,75621.02,X5,7,21550.43,Premium,150k-200k
25,Audi,2015,3.0,Electric,Automatic,188489,New,82480.4,Q5,11,17135.36,Premium,150k-200k
26,Toyota,2017,5.2,Electric,Automatic,18325,Used,70176.95,Camry,9,2036.11,Premium,<50k
27,BMW,2009,1.9,Electric,Manual,199756,Used,46800.6,X3,17,11750.35,Mid-Range,150k-200k
28,Honda,2022,4.4,Diesel,Manual,204541,New,41033.39,Accord,4,51135.25,Mid-Range,200k+
29,Mercedes,2007,5.9,Diesel,Manual,17669,Used,78308.17,GLC,19,929.95,Premium,<50k
30,Audi,2017,1.5,Diesel,Automatic,207836,Like New,54201.18,A3,9,23092.89,Mid-Range,200k+
31,BMW,2020,1.0,Hybrid,Automatic,132915,Used,71916.68,X5,6,22152.5,Premium,100k-150k
32,Toyota,2000,3.2,Petrol,Automatic,196681,Used,89587.88,Corolla,26,7564.65,Premium,150k-200k
33,Toyota,2022,1.5,Hybrid,Automatic,50812,Used,92009.61,Corolla,4,12703.0,Premium,50k-100k
34,Ford,2007,4.7,Diesel,Manual,278203,Like New,31382.99,Fiesta,19,14642.26,Budget,200k+
35,Ford,2005,5.6,Petrol,Automatic,252862,Like New,22849.55,Mustang,21,12041.05,Budget,200k+
36,Tesla,2004,3.2,Petrol,Manual,171840,Like New,29822.3,Model 3,22,7810.91,Budget,150k-200k
37,Honda,2014,2.3,Diesel,Manual,25395,New,76380.32,Fit,12,2116.25,Premium,<50k
38,BMW,2021,3.2,Diesel,Automatic,282346,New,40155.51,5 Series,5,56469.2,Mid-Range,200k+
39,BMW,2014,4.6,Hybrid,Manual,229707,Like New,21471.98,X3,12,19142.25,Budget,200k+
40,Tesla,2001,1.0,Diesel,Manual,247181,New,14346.62,Model X,25,9887.24,Budget,200k+
41,Mercedes,2000,3.9,Petrol,Manual,204120,New,36094.75,E-Class,26,7850.77,Budget,200k+
42,Mercedes,2022,4.1,Electric,Manual,224839,New,17932.96,GLA,4,56209.75,Budget,200k+
43,Tesla,2022,4.2,Diesel,Automatic,219882,Like New,19855.49,Model Y,4,54970.5,Budget,200k+
44,Mercedes,2010,2.2,Diesel,Automatic,103235,Used,69968.98,C-Class,16,6452.19,Premium,100k-150k
